slug,name,positions,age,team,games_played,minutes_played,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player,is_combined_totalsslug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
balllo01,Lonzo Ball,POINT GUARD,22,NEW ORLEANS PELICANS,63,2025,13.1,0.517,0.575,0.111,3.7,16.4,10.0,29.1,2.0,1.6,21.1,18.5,0.4,2.0,2.4,0.058,0.1,0.6,0.6,1.3,Falseballlo01,Lonzo Ball,POINT GUARD,22,NEW ORLEANS PELICANS,63,54,2025,277,687,148,395,43,76,71,312,438,88,38,193,128,745
bambamo01,Mo Bamba,CENTER,21,ORLANDO MAGIC,62,878,17.5,0.542,0.374,0.161,11.9,25.6,18.5,7.2,1.3,8.8,12.1,17.1,0.8,1.7,2.5,0.135,-1.2,1.6,0.4,0.5,Falsebambamo01,Mo Bamba,CENTER,21,ORLANDO MAGIC,62,0,878,132,286,37,107,31,46,100,202,42,23,86,42,116,332
bareajo01,J.J. Barea,POINT GUARD,35,DALLAS MAVERICKS,29,450,14.6,0.512,0.411,0.106,2.4,9.9,6.2,37.1,0.5,0.4,14.9,24.2,0.5,0.2,0.7,0.072,1.6,-3.0,-1.4,0.1,Falsebareajo01,J.J. Barea,POINT GUARD,35,DALLAS MAVERICKS,29,6,450,85,207,32,85,20,22,10,43,112,5,2,38,27,222
barneha02,Harrison Barnes,POWER FORWARD,27,SACRAMENTO KINGS,72,2482,13.3,0.574,0.338,0.337,3.4,12.9,8.1,9.2,0.8,0.5,8.8,17.4,3.4,1.1,4.6,0.088,0.0,-1.3,-1.3,0.5,Falsebarneha02,Harrison Barnes,POWER FORWARD,27,SACRAMENTO KINGS,72,72,2482,365,793,102,268,214,267,77,278,159,43,12,88,93,1046
barrerj01,RJ Barrett,SHOOTING GUARD,19,NEW YORK KNICKS,56,1704,10.7,0.479,0.271,0.349,3.0,14.8,8.7,12.8,1.6,0.9,12.9,24.0,-1.6,1.1,-0.5,-0.015,-2.9,-1.5,-4.3,-1.0,Falsebarrerj01,RJ Barrett,SHOOTING GUARD,19,NEW YORK KNICKS,56,55,1704,292,727,63,197,156,254,50,229,143,55,17,124,122,803
bartowi01,Will Barton,SMALL FORWARD,29,DENVER NUGGETS,58,1916,15.6,0.549,0.39,0.18,4.5,16.9,10.7,16.0,1.6,1.4,9.9,20.1,2.4,1.8,4.2,0.106,1.2,-0.2,1.1,1.5,Falsebartowi01,Will Barton,SMALL FORWARD,29,DENVER NUGGETS,58,58,1916,332,738,108,288,102,133,76,289,212,61,29,88,121,874
bateske01,Keita Bates-Diop,POWER FORWARD,24,MINNESOTA TIMBERWOLVES,37,646,12.5,0.535,0.456,0.316,3.3,15.1,9.0,6.7,1.2,2.6,5.6,15.8,0.6,0.5,1.0,0.077,-0.8,-0.1,-0.9,0.2,Falsebateske01,Keita Bates-Diop,POWER FORWARD,24,MINNESOTA TIMBERWOLVES,37,0,646,87,206,31,94,46,65,21,89,30,17,20,14,36,251
bateske01,Keita Bates-Diop,SMALL FORWARD,24,DENVER NUGGETS,7,98,12.1,0.571,0.321,0.357,4.6,14.8,9.7,0.0,1.0,3.8,8.5,15.7,0.1,0.1,0.2,0.084,-2.2,-2.7,-4.9,-0.1,Falsebateske01,Keita Bates-Diop,SMALL FORWARD,24,DENVER NUGGETS,7,0,98,13,28,3,9,8,10,4,13,0,2,4,3,7,37
batumni01,Nicolas Batum,SMALL FORWARD,31,CHARLOTTE HORNETS,22,505,9.2,0.463,0.605,0.123,5.2,16.8,10.8,18.3,1.7,1.5,20.5,9.4,0.2,0.4,0.6,0.055,-2.8,0.9,-1.9,0.0,Falsebatumni01,Nicolas Batum,SMALL FORWARD,31,CHARLOTTE HORNETS,22,3,505,28,81,14,49,9,10,25,75,66,17,8,22,41,79
baynear01,Aron Baynes,CENTER,33,PHOENIX SUNS,42,934,15.2,0.581,0.441,0.197,8.3,20.0,14.1,10.9,0.5,2.1,10.8,21.1,1.3,0.8,2.1,0.107,-0.2,-0.8,-1.0,0.2,Falsebaynear01,Aron Baynes,CENTER,33,PHOENIX SUNS,42,28,934,183,381,59,168,56,75,71,166,67,10,23,50,141,481
