slug,name,positions,age,team,games_played,minutes_played,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_playerslug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
arizatr01,Trevor Ariza,SMALL FORWARD,33,WASHINGTON WIZARDS,43,1465,13.0,0.538,0.58,0.238,2.5,14.5,8.4,15.5,1.7,0.7,10.6,18.2,1.1,0.8,1.9,0.062,0.6,-0.8,-0.2,0.7arizatr01,Trevor Ariza,SMALL FORWARD,33,WASHINGTON WIZARDS,43,43,1465,208,509,95,295,94,121,34,192,165,53,13,67,86
augusdj01,D.J. Augustin,POINT GUARD,31,ORLANDO MAGIC,81,2269,15.7,0.616,0.459,0.309,1.9,7.8,4.8,26.9,1.1,0.1,14.3,17.2,5.0,1.9,6.9,0.146,1.7,-2.0,-0.3,1.0augusdj01,D.J. Augustin,POINT GUARD,31,ORLANDO MAGIC,81,81,2269,318,677,131,311,181,209,41,162,426,52,4,128,115
aytonde01,Deandre Ayton,CENTER,20,PHOENIX SUNS,71,2183,20.5,0.608,0.005,0.217,11.1,26.1,18.5,9.6,1.3,2.6,11.7,21.2,4.1,1.7,5.8,0.128,-0.1,0.2,0.2,1.2aytonde01,Deandre Ayton,CENTER,20,PHOENIX SUNS,71,70,2183,509,870,0,4,141,189,223,506,125,61,67,126,209
bacondw01,Dwayne Bacon,SHOOTING GUARD,23,CHARLOTTE HORNETS,43,759,11.7,0.57,0.339,0.179,1.1,11.7,6.3,9.2,0.8,0.6,6.1,16.8,0.9,0.3,1.2,0.073,-1.2,-2.4,-3.5,-0.3bacondw01,Dwayne Bacon,SHOOTING GUARD,23,CHARLOTTE HORNETS,43,13,759,122,257,38,87,34,46,8,81,47,12,5,18,72
baglema01,Marvin Bagley,POWER FORWARD,19,SACRAMENTO KINGS,62,1567,18.9,0.562,0.136,0.371,10.4,20.8,15.5,5.9,1.0,3.2,10.7,24.2,2.0,1.6,3.6,0.11,-1.2,-0.7,-1.8,0.1baglema01,Marvin Bagley,POWER FORWARD,19,SACRAMENTO KINGS,62,4,1567,356,706,30,96,181,262,162,309,62,33,59,98,120
bakerro01,Ron Baker,SHOOTING GUARD,25,NEW YORK KNICKS,11,107,4.4,0.376,0.563,0.375,1.0,6.0,3.4,16.1,2.3,0.0,13.9,8.6,0.0,0.0,0.0,0.002,-4.6,-1.4,-6.0,-0.1bakerro01,Ron Baker,SHOOTING GUARD,25,NEW YORK KNICKS,11,0,107,4,16,1,9,5,6,1,6,13,5,0,3,16
bakerro01,Ron Baker,SHOOTING GUARD,25,WASHINGTON WIZARDS,4,45,-2.0,0.0,1.0,0.0,0.0,9.8,4.8,5.1,1.1,1.9,33.3,5.7,-0.1,0.0,-0.1,-0.12,-8.8,0.8,-8.1,-0.1bakerro01,Ron Baker,SHOOTING GUARD,25,WASHINGTON WIZARDS,4,0,45,0,4,0,4,0,0,0,4,2,1,1,2,2
baldwwa01,Wade Baldwin,POINT GUARD,22,PORTLAND TRAIL BLAZERS,16,94,1.3,0.396,0.273,0.333,2.3,14.4,8.5,16.6,0.5,1.7,27.0,23.3,-0.4,0.1,-0.3,-0.153,-9.3,-1.4,-10.7,-0.2baldwwa01,Wade Baldwin,POINT GUARD,22,PORTLAND TRAIL BLAZERS,16,0,94,10,33,2,9,8,11,2,13,12,1,2,14,11
balllo01,Lonzo Ball,POINT GUARD,21,LOS ANGELES LAKERS,47,1423,11.7,0.487,0.5,0.105,4.0,14.0,9.1,23.8,2.3,1.1,17.8,16.9,-0.2,1.7,1.6,0.052,-0.9,1.5,0.5,0.9balllo01,Lonzo Ball,POINT GUARD,21,LOS ANGELES LAKERS,47,45,1423,185,456,75,228,20,48,54,197,255,69,19,103,114
bambamo01,Mo Bamba,CENTER,20,ORLANDO MAGIC,47,766,14.9,0.539,0.288,0.259,8.8,24.0,16.3,7.4,0.8,7.0,13.7,17.8,0.3,1.4,1.7,0.106,-3.3,3.1,-0.2,0.4bambamo01,Mo Bamba,CENTER,20,ORLANDO MAGIC,47,1,766,117,243,21,70,37,63,64,169,39,13,64,43,102
bareajo01,J.J. Barea,POINT GUARD,34,DALLAS MAVERICKS,38,752,16.3,0.495,0.332,0.203,1.9,11.6,6.8,47.5,1.4,0.1,14.7,28.1,0.4,0.6,1.0,0.064,1.1,-2.2,-1.1,0.2bareajo01,J.J. Barea,POINT GUARD,34,DALLAS MAVERICKS,38,0,752,161,385,38,128,55,78,13,82,211,22,1,72,50
barneha02,Harrison Barnes,POWER FORWARD,26,DALLAS MAVERICKS,49,1584,13.1,0.538,0.434,0.276,2.4,11.5,7.0,6.3,1.0,0.6,7.8,23.7,0.8,1.1,1.9,0.059,-0.9,-2.1,-3.0,-0.4barneha02,Harrison Barnes,POWER FORWARD,26,DALLAS MAVERICKS,49,49,1584,290,717,121,311,165,198,36,171,62,33,11,68,79
barneha02,Harrison Barnes,SMALL FORWARD,26,SACRAMENTO KINGS,28,949,12.3,0.578,0.419,0.258,2.2,14.8,8.4,7.5,0.8,0.2,8.0,16.3,1.1,0.5,1.7,0.084,-0.1,-1.2,-1.2,0.2barneha02,Harrison Barnes,SMALL FORWARD,26,SACRAMENTO KINGS,28,28,949,141,310,53,130,64,80,21,133,53,17,2,30,43
bartowi01,Will Barton,SHOOTING GUARD,28,DENVER NUGGETS,43,1189,11.0,0.501,0.426,0.161,2.9,15.3,9.1,14.6,0.7,1.6,11.7,20.0,0.1,1.1,1.2,0.049,-1.8,-0.5,-2.3,-0.1bartowi01,Will Barton,SHOOTING GUARD,28,DENVER NUGGETS,43,38,1189,185,460,67,196,57,74,32,167,124,18,22,65,82
bateske01,Keita Bates-Diop,SMALL FORWARD,23,MINNESOTA TIMBERWOLVES,30,503,9.6,0.489,0.366,0.197,3.4,14.4,8.8,4.6,1.7,2.4,8.3,14.1,0.0,0.4,0.3,0.032,-3.2,0.0,-3.1,-0.1bateske01,Keita Bates-Diop,SMALL FORWARD,23,MINNESOTA TIMBERWOLVES,30,3,503,60,142,13,52,18,28,16,67,17,18,14,14,29
batumni01,Nicolas Batum,SMALL FORWARD,30,CHARLOTTE HORNETS,75,2354,11.9,0.581,0.53,0.158,3.2,14.9,8.9,14.5,1.5,1.6,16.3,13.2,2.0,1.7,3.7,0.076,-0.1,0.9,0.8,1.7batumni01,Nicolas Batum,SMALL FORWARD,30,CHARLOTTE HORNETS,75,72,2354,253,562,116,298,77,89,71,319,247,71,43,117,140
bayleje01,Jerryd Bayless,POINT GUARD,30,MINNESOTA TIMBERWOLVES,34,657,8.5,0.431,0.426,0.122,1.8,8.4,5.0,24.6,1.3,0.3,11.7,17.6,-0.2,0.2,0.0,-0.003,-2.4,-2.7,-5.1,-0.5bayleje01,Jerryd Bayless,POINT GUARD,30,MINNESOTA TIMBERWOLVES,34,6,657,82,230,29,98,16,28,11,51,119,18,2,32,56
baynear01,Aron Baynes,CENTER,32,BOSTON CELTICS,51,821,14.0,0.567,0.274,0.278,11.4,19.8,15.6,9.3,0.7,3.7,13.8,15.2,1.3,1.1,2.4,0.139,-1.2,1.4,0.2,0.5baynear01,Aron Baynes,CENTER,32,BOSTON CELTICS,51,18,821,105,223,21,61,53,62,88,152,57,12,34,40,125
bazemke01,Kent Bazemore,SHOOTING GUARD,29,ATLANTA HAWKS,67,1643,11.9,0.507,0.434,0.253,2.3,14.6,8.3,13.5,2.5,2.2,13.6,22.0,-0.7,1.4,0.7,0.021,-2.2,0.0,-2.2,-0.1bazemke01,Kent Bazemore,SHOOTING GUARD,29,ATLANTA HAWKS,67,35,1643,278,691,96,300,127,175,37,224,152,89,42,121,170
bealbr01,Bradley Beal,SHOOTING GUARD,25,WASHINGTON WIZARDS,82,3028,20.8,0.581,0.37,0.278,3.1,11.7,7.4,24.1,1.9,1.6,11.0,28.4,5.9,1.7,7.6,0.12,3.9,-1.1,2.8,3.7bealbr01,Bradley Beal,SHOOTING GUARD,25,WASHINGTON WIZARDS,82,82,3028,764,1609,209,596,362,448,89,322,448,121,58,224,226
beaslma01,Malik Beasley,SHOOTING GUARD,22,DENVER NUGGETS,81,1879,14.2,0.599,0.55,0.09,2.0,9.5,5.8,7.5,1.4,0.5,6.7,18.7,2.9,1.6,4.5,0.115,1.4,-1.9,-0.5,0.7beaslma01,Malik Beasley,SHOOTING GUARD,22,DENVER NUGGETS,81,18,1879,349,737,163,405,56,66,35,165,97,55,10,55,116
beaslmi01,Michael Beasley,POWER FORWARD,30,LOS ANGELES LAKERS,26,277,15.9,0.532,0.111,0.255,4.9,17.2,11.2,14.8,1.5,3.0,13.7,29.5,-0.1,0.4,0.2,0.039,-3.7,-0.4,-4.0,-0.1beaslmi01,Michael Beasley,POWER FORWARD,30,LOS ANGELES LAKERS,26,2,277,75,153,3,17,28,39,13,47,25,9,10,27,42
belinma01,Marco Belinelli,SHOOTING GUARD,32,SAN ANTONIO SPURS,79,1815,11.9,0.557,0.572,0.18,1.0,10.8,5.9,10.1,0.9,0.4,8.8,19.8,1.4,1.1,2.5,0.065,0.3,-2.4,-2.1,0.0belinma01,Marco Belinelli,SHOOTING GUARD,32,SAN ANTONIO SPURS,79,1,1815,285,690,147,395,112,124,16,182,132,35,8,72,121
