Name,Position,Score
Cheick Diallo,POWER FORWARD,848.5522
Derrick Jones,SMALL FORWARD,846.21295
Alfonzo McKinnie,SMALL FORWARD,845.71345
Alec Burks,SHOOTING GUARD,842.34585
Landry Shamet,SHOOTING GUARD,837.0953
Allen Crabbe,SHOOTING GUARD,822.5509500000001
De'Anthony Melton,POINT GUARD,818.8383
Dirk Nowitzki,POWER FORWARD,814.80345
Jared Dudley,POWER FORWARD,811.7627
Bobby Portis,POWER FORWARD,810.2615000000001
Ian Clark,SHOOTING GUARD,806.1401
Wesley Iwundu,SMALL FORWARD,788.45655
Harry Giles,POWER FORWARD,784.4763
Dennis Smith,POINT GUARD,779.79135
Justin Jackson,SMALL FORWARD,778.0523000000001
Marcin Gortat,CENTER,770.7081000000001
Harrison Barnes,SMALL FORWARD,770.0889
Jerian Grant,POINT GUARD,768.4963
Anthony Tolliver,POWER FORWARD,767.50855
Mike Muscala,POWER FORWARD,767.348
Delon Wright,POINT GUARD,753.07135
Luke Kornet,POWER FORWARD,752.66655
Aron Baynes,CENTER,746.96835
Markieff Morris,POWER FORWARD,743.49215
Élie Okobo,POINT GUARD,740.68945
Frank Kaminsky,CENTER,737.31435
Stanley Johnson,SMALL FORWARD,733.2291
Zaza Pachulia,CENTER,732.88195
Delon Wright,POINT GUARD,732.6909499999999
D.J. Wilson,POWER FORWARD,727.68575
JaMychal Green,POWER FORWARD,724.914
Wilson Chandler,POWER FORWARD,724.65805
David Nwaba,SHOOTING GUARD,723.8779
Dante Cunningham,POWER FORWARD,721.55925
Kevin Love,POWER FORWARD,716.8180500000001
Antonio Blakeney,SHOOTING GUARD,716.20935
George Hill,POINT GUARD,712.9267
Danuel House,SMALL FORWARD,704.6173
Bismack Biyombo,CENTER,695.2101
Shaun Livingston,POINT GUARD,693.92275
Omari Spellman,POWER FORWARD,693.8608
Wayne Selden,SHOOTING GUARD,683.98945
Trevor Ariza,SMALL FORWARD,682.42125
Ivan Rabb,POWER FORWARD,680.0392999999999
Troy Brown,SMALL FORWARD,679.76435
Trey Burke,POINT GUARD,679.5498
Joakim Noah,CENTER,679.37355
Jordan Bell,CENTER,676.33155
Dragan Bender,POWER FORWARD,672.50105
Marc Gasol,CENTER,668.5732499999999
Frank Ntilikina,POINT GUARD,662.66085
Mike Scott,POWER FORWARD,661.97105
Mo Bamba,CENTER,659.20195
Wayne Ellington,SHOOTING GUARD,658.7842
Dwayne Bacon,SHOOTING GUARD,645.4835
Jonas Valančiūnas,CENTER,644.35195
Bruno Caboclo,SMALL FORWARD,642.03355
Matthew Dellavedova,POINT GUARD,639.03685
Patrick Patterson,POWER FORWARD,636.47465
James Ennis,SMALL FORWARD,630.6611
Furkan Korkmaz,SHOOTING GUARD,626.5814
Devonte' Graham,POINT GUARD,618.03295
Aaron Holiday,POINT GUARD,617.5259000000001
Jonas Valančiūnas,CENTER,616.6797
Jabari Parker,POWER FORWARD,615.1143500000001
Troy Daniels,SHOOTING GUARD,611.3429
Chandler Hutchison,SMALL FORWARD,609.13535
Robert Covington,SMALL FORWARD,608.3489999999999
Cristiano Felício,CENTER,607.6834
Chasson Randle,POINT GUARD,602.21275
Landry Shamet,SHOOTING GUARD,597.48505
Dennis Smith,POINT GUARD,595.1786500000001
Kenneth Faried,CENTER,589.4661
Jonathon Simmons,SHOOTING GUARD,587.18725
Jerryd Bayless,POINT GUARD,586.64155
Kelly Oubre,SMALL FORWARD,576.79225
Jonah Bolden,POWER FORWARD,573.55475
Khem Birch,CENTER,573.502
Solomon Hill,SMALL FORWARD,569.99485
Ivica Zubac,CENTER,565.1786999999999
Dante Exum,POINT GUARD,562.2908
Georges Niang,POWER FORWARD,553.44565
Bobby Portis,POWER FORWARD,552.06145
T.J. Leaf,POWER FORWARD,548.2636
Abdel Nader,SMALL FORWARD,546.3461
Nik Stauskas,SHOOTING GUARD,543.5722499999999
Tyson Chandler,CENTER,540.8713
Enes Kanter,CENTER,540.8307
Brandon Knight,POINT GUARD,539.38075
Amir Johnson,CENTER,539.0537
DeAndre Jordan,CENTER,526.10905
Lance Thomas,POWER FORWARD,522.7941
Treveon Graham,SHOOTING GUARD,522.4679
Wesley Matthews,SHOOTING GUARD,519.77715
Ivica Zubac,CENTER,515.40165
Tim Hardaway,SHOOTING GUARD,509.25070000000005
Thabo Sefolosha,SMALL FORWARD,502.76495
Tyrone Wallace,POINT GUARD,500.62750000000005
Sam Dekker,POWER FORWARD,498.4207
José Calderón,POINT GUARD,493.00265
Gary Clark,POWER FORWARD,488.584
Raul Neto,POINT GUARD,487.4229
