Name,Position,Score
Gary Trent Jr.,SMALL FORWARD,1021.5943500000001
Wendell Carter Jr.,CENTER,1021.5295000000001
Landry Shamet,SHOOTING GUARD,1020.479
Mason Plumlee,CENTER,1020.14065
Mike Scott,POWER FORWARD,1018.4628499999999
Josh Okogie,SHOOTING GUARD,1012.2526500000001
Pat Connaughton,SHOOTING GUARD,1008.3732500000001
Taj Gibson,CENTER,988.8755000000001
Brad Wanamaker,POINT GUARD,988.0488500000001
Derrick Jones Jr.,SMALL FORWARD,987.806
Aron Baynes,CENTER,979.52405
Michael Porter Jr.,SMALL FORWARD,971.46585
Jordan Clarkson,SHOOTING GUARD,967.68345
Rajon Rondo,POINT GUARD,962.7096999999999
Malik Monk,SHOOTING GUARD,957.2314999999999
Isaiah Thomas,POINT GUARD,954.52655
Ersan İlyasova,POWER FORWARD,953.29445
Jordan Poole,SHOOTING GUARD,953.0127
Meyers Leonard,CENTER,949.42635
Frank Ntilikina,POINT GUARD,940.2148500000001
Rondae Hollis-Jefferson,POWER FORWARD,911.61165
Isaac Bonga,SMALL FORWARD,908.8154
Avery Bradley,SHOOTING GUARD,907.5518500000001
E'Twaun Moore,SHOOTING GUARD,905.2655
Kyrie Irving,POINT GUARD,898.56475
Nicolò Melli,CENTER,882.4577999999999
Nerlens Noel,CENTER,879.54055
Bismack Biyombo,CENTER,878.6335
Jaxson Hayes,CENTER,870.66945
Jeff Teague,POINT GUARD,866.8739
Markieff Morris,POWER FORWARD,866.3036500000001
Luke Kennard,SHOOTING GUARD,862.79945
Kevin Knox,SMALL FORWARD,858.9535000000001
Kevin Porter Jr.,SMALL FORWARD,849.68175
Willie Cauley-Stein,CENTER,843.66365
Shabazz Napier,POINT GUARD,842.87695
Mo Bamba,CENTER,842.7321000000001
Torrey Craig,SMALL FORWARD,841.2926500000001
Chris Boucher,CENTER,834.81435
Dwight Powell,CENTER,833.70385
Georges Niang,POWER FORWARD,829.78945
Gorgui Dieng,CENTER,827.9781499999999
Jabari Parker,POWER FORWARD,824.51325
Jonathan Isaac,POWER FORWARD,823.0126
Justin Jackson,POWER FORWARD,814.2098
Darius Bazley,POWER FORWARD,813.27485
Lonnie Walker,SHOOTING GUARD,806.78535
Alex Caruso,POINT GUARD,802.91125
Kyle Korver,SMALL FORWARD,802.596
Eric Gordon,SMALL FORWARD,796.2705
Shake Milton,SHOOTING GUARD,790.28085
Frank Kaminsky,CENTER,778.67725
Maurice Harkless,POWER FORWARD,763.0442
Ky Bowman,POINT GUARD,762.8996999999999
Marco Belinelli,SHOOTING GUARD,762.2066
Matisse Thybulle,SHOOTING GUARD,757.42695
Patrick Patterson,POWER FORWARD,756.544
Emmanuel Mudiay,POINT GUARD,749.78715
Jevon Carter,POINT GUARD,742.17315
Damian Jones,CENTER,727.9306
Zion Williamson,POWER FORWARD,722.2558
Kent Bazemore,SMALL FORWARD,722.23875
Solomon Hill,POWER FORWARD,721.65745
Omari Spellman,CENTER,717.05755
Robin Lopez,CENTER,716.1727000000001
Ryan Arcidiacono,POINT GUARD,714.50255
Alex Len,CENTER,708.5095
Tony Bradley,CENTER,705.62405
Moritz Wagner,CENTER,704.3469
Harry Giles,CENTER,698.394
Wesley Iwundu,SMALL FORWARD,683.7272
Vince Carter,POWER FORWARD,682.7135000000001
Ian Mahinmi,CENTER,679.09225
Michael Carter-Williams,SHOOTING GUARD,678.3317499999999
Matthew Dellavedova,POINT GUARD,677.18815
Damyean Dotson,SHOOTING GUARD,676.12635
Semi Ojeleye,POWER FORWARD,675.2231
Grant Williams,POWER FORWARD,674.16025
Terrance Ferguson,SMALL FORWARD,665.70905
Frank Jackson,POINT GUARD,664.1205
Sterling Brown,SMALL FORWARD,649.6843
Jordan McRae,SHOOTING GUARD,648.90115
Bruno Fernando,CENTER,646.1071
Cody Martin,SMALL FORWARD,641.0352499999999
Jordan Clarkson,SHOOTING GUARD,636.02905
Khem Birch,CENTER,635.3433
Thon Maker,CENTER,630.2491
Timothé Luwawu-Cabarrot,SMALL FORWARD,629.64495
Abdel Nader,SMALL FORWARD,628.71955
Elie Okobo,POINT GUARD,623.4608
Mario Hezonja,POWER FORWARD,616.93625
Raul Neto,POINT GUARD,608.4083499999999
Robert Covington,CENTER,606.2715499999999
James Ennis,SMALL FORWARD,603.5732
Grayson Allen,SHOOTING GUARD,595.0704499999999
Nickeil Alexander-Walker,SHOOTING GUARD,594.80865
Hamidou Diallo,SMALL FORWARD,593.69955
Kenrich Williams,POWER FORWARD,590.78645
DeAndre' Bembry,SHOOTING GUARD,587.62
Malik Beasley,SHOOTING GUARD,585.2755500000001
Boban Marjanović,CENTER,582.5256
Jordan McLaughlin,POINT GUARD,574.34935
Mike Muscala,CENTER,571.21845
Rodney McGruder,SHOOTING GUARD,558.83385
Marvin Williams,POWER FORWARD,556.02965
Rodions Kurucs,POWER FORWARD,549.08775
Naz Reid,CENTER,546.5352499999999
J.J. Barea,POINT GUARD,546.1856
Luguentz Dort,SMALL FORWARD,527.3503
Patrick McCaw,SMALL FORWARD,525.155
Denzel Valentine,SMALL FORWARD,524.22555
Reggie Bullock,SHOOTING GUARD,521.3801
Jae Crowder,POWER FORWARD,513.95345
Trevor Ariza,SMALL FORWARD,511.60715000000005
